country_old,threshold,area,extent_2000,extent_2010,gain_2000-2020,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,tree_cover_2000,carbon_stocks_2000,avg_carbon_stocks_2000,carbon_emissions_yr,carbon_removals_yr,net_flux_yr,emissions_2001,emissions_2002,emissions_2003,emissions_2004,emissions_2005,emissions_2006,emissions_2007,emissions_2008,emissions_2009,emissions_2010,emissions_2011,emissions_2012,emissions_2013,emissions_2014,emissions_2015,emissions_2016,emissions_2017,emissions_2018,emissions_2019,emissions_2020,emissions_2021,emissions_2022,emissions_2023,subnational1,iso,loss__year,tree_cover_loss,tree_cover_loss_from_fires,country
Austria,75,8385802,3394270,3202079,36317,6225,9874,13219,13319,19887,11730,29191,25231,14887,15414,16902,10315,6413,8297,7037,15349,16323,23526,29579,23263,14788,17516,23848,3394270,314800618,93,8600991.0,23001586.0,-14400595.0,2615982.0,4221433.0,5479492.0,5971957.0,9469043.0,5803089.0,14669575.0,12851707.0,7433651.0,7590280.0,8888855.0,5393772.0,3409751.0,4400548.0,3851296.0,8592550.0,9194544.0,13819589.0,16966383.0,13657341.0,8569089.0,10369747.0,14603114.0,,LBR,2001.0,29185.67018,303.9712256,Austria
Azerbaijan,30,8623533,1268610,1082394,30270,553,1154,1039,585,246,525,508,472,372,550,147,598,149,328,27,25,80,75,12,23,85,146,461,1268610,68892593,54,99246.0,4355668.0,-4256422.0,156502.0,285679.0,322884.0,148796.0,63281.0,133006.0,134695.0,131249.0,99737.0,149914.0,40628.0,164495.0,44277.0,72842.0,5763.0,8436.0,23098.0,23390.0,3954.0,7277.0,34903.0,62523.0,165333.0,,LTU,2001.0,7961.687395,113.4825803,Azerbaijan
Azerbaijan,50,8623533,1113390,873912,30270,488,1065,983,491,206,466,455,435,322,468,126,526,131,299,26,24,79,75,10,21,69,143,408,1113390,63653733,57,92400.0,3894448.0,-3802047.0,145909.0,271467.0,313066.0,130254.0,55884.0,123188.0,125393.0,124328.0,89688.0,133533.0,36489.0,150670.0,40723.0,67940.0,5629.0,8180.0,22831.0,23390.0,3471.0,6983.0,33140.0,61656.0,151391.0,,LUX,2001.0,68.60969197,0.65116962,Azerbaijan
Azerbaijan,75,8623533,819515,566413,30270,356,786,788,322,135,347,317,325,232,310,89,345,80,189,24,21,74,63,6,15,56,123,282,819515,50693393,62,70962.0,2915808.0,-2844846.0,116993.0,211692.0,267174.0,90533.0,39574.0,97780.0,92995.0,96962.0,67144.0,94639.0,26986.0,105640.0,26433.0,41141.0,5418.0,7109.0,21468.0,19594.0,2222.0,5339.0,30086.0,55218.0,109981.0,,LVA,2001.0,24907.62112,201.8810314,Azerbaijan
Bahamas,30,1338763,303575,344168,6316,433,701,274,588,1450,1016,605,1949,824,401,625,371,1573,902,1089,3136,3704,914,1558,2696,1549,593,1259,303575,9864996,32,424457.0,2847847.0,-2423389.0,90133.0,197148.0,60791.0,138724.0,347904.0,244181.0,163690.0,562350.0,230542.0,111605.0,185783.0,137626.0,578757.0,317426.0,363691.0,912929.0,1619493.0,382012.0,563432.0,1072482.0,628239.0,247105.0,606478.0,,MDV,2001.0,4.743487262,0.0,Bahamas
Bahamas,50,1338763,256960,264112,6316,411,667,257,542,1395,847,545,1881,741,381,603,342,1464,698,957,2909,3054,805,1315,2328,1340,487,1107,256960,8637039,34,380257.0,2610661.0,-2230404.0,86857.0,191031.0,58100.0,129555.0,337886.0,208899.0,150227.0,546338.0,210686.0,107203.0,180020.0,127313.0,542193.0,258214.0,323810.0,834863.0,1384739.0,344061.0,477515.0,939552.0,551004.0,211078.0,544763.0,,MEX,2001.0,158302.9885,13288.02116,Bahamas
Bahamas,75,1338763,199495,174372,6316,374,615,228,474,1261,614,429,1769,646,352,561,292,1310,462,731,2492,2018,612,1091,1956,1108,356,787,199495,6888779,35,311451.0,2314819.0,-2003368.0,80692.0,181302.0,52580.0,115206.0,310082.0,157188.0,122321.0,520306.0,186672.0,100134.0,168227.0,109363.0,485588.0,182397.0,250884.0,678385.0,977413.0,273499.0,395538.0,797505.0,459959.0,160240.0,397884.0,,MKD,2001.0,2059.864143,405.419176,Bahamas
Bahrain,30,71518,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,MOZ,2001.0,60936.64968,522.9708635,Bahrain
Bahrain,50,71518,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,MRT,2001.0,31.83843537,0.221104337,Bahrain
Bahrain,75,71518,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,MSR,2001.0,7.078555306,0.294899513,Bahrain
Bangladesh,30,13938437,1938958,2216745,317862,4587,3995,2159,4283,3293,6863,3995,4480,5625,4668,4181,5359,6022,12061,12604,21196,28377,19343,22079,21475,17587,13798,17787,1938958,174161146,90,5769116.0,19420362.0,-13651246.0,2293885.0,1924879.0,1024990.0,1998467.0,1646541.0,3390807.0,1944395.0,2192448.0,2790345.0,2266167.0,2106996.0,2825238.0,3103891.0,6248512.0,6680926.0,11411467.0,15582306.0,10566766.0,12024136.0,11764254.0,10060114.0,7954141.0,10887990.0,,NAM,2001.0,417.5124607,2.172941493,Bangladesh
Bangladesh,50,13938437,1522871,1504904,317862,4507,3866,2087,4077,3197,6557,3762,4242,5355,4420,3976,5102,5482,11039,11338,19238,25939,17501,20410,19775,16073,12572,16184,1522871,146089219,96,5473216.0,18011989.0,-12538773.0,2269391.0,1888249.0,1006180.0,1937503.0,1616807.0,3296023.0,1871657.0,2116428.0,2704236.0,2185249.0,2043703.0,2743609.0,2928557.0,5897097.0,6253026.0,10716207.0,14719180.0,9905646.0,11366978.0,11092478.0,9493231.0,7483552.0,10348988.0,,NCL,2001.0,697.9210994,57.00113922,Bangladesh
